5,1 # 1000 # 11,12,1,4,13,19,4,6,20,9,19,6,13,5,10,10,15,9,13,20,20,10,9,12,10,7,20,11
5,11 # 300 # 14,11,10,6,12,4,15,0,9,9,20,5,6,11,17,8,12,2,10,5,8,5,17,10,5,19,0,20
5,21 # 600 # 4,13,0,1,15,4,17,11,3,20,8,17,8,8,9,13,8,19,5,18,2,19,20,1,17,13,8,14
9,1 # 6000 # 18,10,12,17,19,14,5,15,18,16,3,12,9,0,8,0,6,1,16,8,15,14,8,16,9,8,1,11
9,11 # 1000 # 6,18,0,17,1,5,2,15,18,14,20,5,4,2,20,0,12,6,5,1,6,0,8,4,0,0,6,13
1,1 # 1000 # 2,10,5,4,17,16,12,18,20,4,9,20,20,2,10,9,16,3,13,1,8,12,1,4,10,9,6,14
1,11 # 500 # 13,0,15,9,4,0,6,1,7,16,20,8,17,3,16,4,5,2,2,4,4,20,20,18,18,12,0,9 
1,21 # 5000 # 1,11,17,2,13,16,1,14,10,15,12,7,8,2,13,13,14,10,10,14,10,2,13,8,19,15,20,11
9,21 # 1200 # 2,6,4,10,12,14,14,19,11,13,4,10,8,0,7,1,20,11,12,15,18,17,20,15,13,10,3,7
14,1 # 6000 # 6,14,2,14,6,6,1,7,18,8,9,14,3,9,20,4,4,1,8,9,5,14,20,20,17,12,15,19
14,11 # 800 # 1,19,1,20,18,2,0,3,6,3,2,19,5,19,8,11,19,8,13,8,0,10,7,1,4,17,16,19
14,21 # 3000 # 15,20,16,15,3,10,5,10,18,9,10,19,18,6,5,17,5,14,2,6,18,20,4,11,7,7,10,11
