9,11 # 1000 # 0,8,7,7,20,7,8,14,5,8,14,12,15,13,20,12,13,4,20,15,17,10,7,20,20,5,4,2
9,21 # 1200 # 15,17,18,9,19,11,19,5,1,16,19,5,18,7,19,15,19,9,11,0,13,4,10,2,14,14,19,3
1,1 # 1000 # 19,4,13,5,13,20,5,4,8,12,16,6,2,10,20,12,7,14,6,16,6,10,12,16,8,0,1,7
1,21 # 5000 # 9,6,19,1,8,12,7,12,15,15,7,5,4,20,11,17,16,5,20,7,17,20,18,18,1,20,16,6
5,1 # 1000 # 6,16,5,15,20,8,19,0,1,15,11,19,11,14,3,9,11,0,20,13,17,17,20,18,8,13,19,6
5,21 # 600 # 12,9,2,2,14,16,11,11,3,19,9,6,10,19,17,13,7,13,8,11,15,10,3,15,5,17,8,3
9,1 # 6000 # 13,13,9,12,11,9,2,8,6,12,19,6,8,15,19,19,0,9,18,4,11,8,18,18,11,14,12,0
14,1 # 6000 # 20,12,1,1,10,12,15,5,11,20,2,3,3,20,9,1,19,1,10,14,8,3,19,1,15,1,5,3
14,21 # 3000 # 0,17,9,2,4,20,4,6,0,6,12,2,9,7,5,20,7,10,2,13,13,3,5,17,9,0,2,15
5,11 # 300 # 10,12,1,19,8,10,10,14,14,0,12,9,14,18,8,18,20,8,15,13,14,7,12,19,20,13,6,13
14,11 # 800 # 18,15,13,7,19,13,4,5,19,20,9,13,0,14,2,0,0,6,4,2,11,17,5,0,11,2,20,19
1,11 # 500 # 7,6,8,20,9,4,1,8,5,6,2,5,1,3,18,18,6,5,2,16,15,14,8,3,12,20,0,3
