@Ciudad
n=100
m=100
@Datos
d1=4
d2=8
dn=30
@Distritos
D21 1,12;2,37;3,65;4,93;5,114;6,144;7,156;8,175;9,197;10,203;11,230;12,242;13,263;14,267;15,297;16,327;17,309;18,287;19,286;20,271;21,252;22,245;23,230;24,229;25,207;26,186;27,170;28,143;29,113;30,98
D61 1,3;2,33;3,65;4,90;5,101;6,109;7,123;8,127;9,149;10,158;11,166;12,188;13,208;14,199;15,187;16,183;17,167;18,151;19,139;20,117;21,100;22,92;23,81;24,77;25,60;26,41;27,24;28,15;29,11;30,0
D101 1,7;2,30;3,48;4,55;5,60;6,83;7,85;8,96;9,115;10,141;11,152;12,180;13,203;14,204;15,216;16,228;17,230;18,256;19,284;20,280;21,259;22,231;23,227;24,204;25,178;26,166;27,158;28,150;29,142;30,127
D141 1,12;2,40;3,67;4,70;5,98;6,111;7,135;8,145;9,169;10,175;11,191;12,194;13,218;14,243;15,246;16,264;17,236;18,221;19,214;20,187;21,160;22,144;23,122;24,113;25,89;26,80;27,52;28,42;29,41;30,22
D181 1,14;2,22;3,42;4,45;5,56;6,83;7,84;8,116;9,141;10,163;11,166;12,174;13,190;14,184;15,152;16,120;17,117;18,98;19,87;20,75;21,63;22,52;23,46;24,19;25,13;26,1;27,0;28,0;29,0;30,0
D221 1,5;2,23;3,38;4,57;5,71;6,97;7,112;8,117;9,124;10,125;11,135;12,136;13,154;14,163;15,166;16,179;17,197;18,223;19,247;20,267;21,283;22,302;23,276;24,256;25,234;26,229;27,205;28,196;29,186;30,164
D261 1,20;2,23;3,43;4,52;5,75;6,77;7,78;8,101;9,111;10,112;11,117;12,137;13,143;14,166;15,176;16,200;17,205;18,218;19,223;20,229;21,245;22,256;23,253;24,229;25,228;26,209;27,202;28,191;29,175;30,159
D301 1,9;2,15;3,33;4,42;5,56;6,71;7,95;8,118;9,119;10,120;11,130;12,139;13,159;14,172;15,188;16,202;17,217;18,237;19,247;20,266;21,271;22,280;23,279;24,257;25,251;26,236;27,226;28,203;29,193;30,177
D341 1,9;2,39;3,52;4,79;5,88;6,89;7,98;8,104;9,116;10,123;11,142;12,146;13,153;14,177;15,196;16,226;17,201;18,179;19,166;20,159;21,141;22,120;23,107;24,88;25,58;26,39;27,23;28,19;29,0;30,0
D381 1,18;2,44;3,66;4,82;5,96;6,111;7,114;8,123;9,143;10,166;11,192;12,193;13,194;14,201;15,217;16,230;17,253;18,264;19,269;20,292;21,312;22,334;23,316;24,311;25,295;26,290;27,271;28,245;29,226;30,213
D421 1,2;2,5;3,21;4,40;5,60;6,75;7,88;8,108;9,124;10,147;11,171;12,187;13,207;14,208;15,231;16,251;17,265;18,284;19,295;20,306;21,319;22,329;23,327;24,318;25,309;26,287;27,284;28,260;29,259;30,257
D461 1,9;2,10;3,27;4,52;5,77;6,96;7,110;8,124;9,152;10,160;11,190;12,218;13,226;14,210;15,188;16,164;17,163;18,136;19,132;20,120;21,90;22,89;23,70;24,62;25,51;26,39;27,31;28,19;29,10;30,2
D501 1,30;2,64;3,91;4,119;5,153;6,156;7,157;8,182;9,190;10,201;11,188;12,187;13,157;14,127;15,124;16,92;17,62;18,57;19,30;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D541 1,24;2,44;3,70;4,79;5,98;6,114;7,133;8,146;9,161;10,164;11,178;12,192;13,199;14,206;15,229;16,242;17,245;18,255;19,266;20,269;21,272;22,277;23,276;24,265;25,252;26,230;27,225;28,212;29,197;30,177
D581 1,24;2,25;3,50;4,66;5,74;6,75;7,107;8,124;9,144;10,145;11,146;12,162;13,181;14,167;15,163;16,133;17,114;18,108;19,97;20,72;21,44;22,27;23,18;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D621 1,17;2,23;3,36;4,47;5,58;6,83;7,100;8,134;9,145;10,162;11,140;12,118;13,107;14,75;15,53;16,43;17,37;18,14;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D661 1,30;2,38;3,65;4,80;5,108;6,138;7,139;8,161;9,174;10,180;11,162;12,154;13,132;14,119;15,87;16,62;17,51;18,31;19,16;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D701 1,9;2,16;3,35;4,40;5,65;6,76;7,98;8,121;9,122;10,127;11,149;12,167;13,186;14,207;15,218;16,246;17,265;18,272;19,281;20,279;21,264;22,257;23,255;24,243;25,228;26,217;27,213;28,190;29,181;30,167
D741 1,6;2,14;3,42;4,70;5,78;6,81;7,82;8,110;9,138;10,155;11,138;12,113;13,102;14,79;15,73;16,43;17,33;18,3;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D781 1,28;2,29;3,52;4,58;5,64;6,91;7,113;8,133;9,141;10,171;11,151;12,129;13,118;14,105;15,73;16,62;17,45;18,20;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D821 1,7;2,19;3,28;4,43;5,57;6,76;7,104;8,116;9,142;10,170;11,189;12,217;13,238;14,260;15,269;16,291;17,295;18,306;19,311;20,290;21,268;22,245;23,224;24,208;25,190;26,179;27,160;28,159;29,134;30,108
D861 1,17;2,45;3,62;4,79;5,103;6,127;7,136;8,158;9,159;10,181;11,189;12,201;13,229;14,204;15,198;16,192;17,175;18,174;19,146;20,130;21,127;22,118;23,117;24,98;25,79;26,68;27,60;28,38;29,18;30,7
D901 1,24;2,37;3,47;4,75;5,87;6,100;7,124;8,127;9,128;10,140;11,159;12,178;13,193;14,209;15,218;16,237;17,219;18,194;19,175;20,159;21,141;22,125;23,98;24,74;25,67;26,48;27,21;28,0;29,0;30,0
D941 1,11;2,22;3,23;4,53;5,76;6,104;7,126;8,136;9,161;10,169;11,156;12,134;13,102;14,92;15,58;16,52;17,41;18,24;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D981 1,1;2,25;3,53;4,59;5,76;6,96;7,123;8,124;9,156;10,186;11,210;12,240;13,257;14,253;15,250;16,222;17,197;18,172;19,169;20,147;21,130;22,102;23,75;24,69;25,49;26,40;27,26;28,7;29,0;30,0
D109 1,26;2,37;3,42;4,52;5,61;6,81;7,86;8,91;9,113;10,115;11,125;12,130;13,145;14,160;15,161;16,162;17,178;18,191;19,193;20,211;21,218;22,241;23,234;24,224;25,218;26,203;27,192;28,179;29,168;30,144
D149 1,32;2,44;3,66;4,70;5,86;6,89;7,100;8,117;9,145;10,148;11,173;12,189;13,195;14,191;15,185;16,158;17,144;18,135;19,127;20,115;21,106;22,81;23,56;24,47;25,28;26,0;27,0;28,0;29,0;30,0
D189 1,10;2,15;3,35;4,41;5,42;6,62;7,69;8,91;9,93;10,106;11,121;12,137;13,159;14,161;15,176;16,182;17,205;18,208;19,234;20,253;21,262;22,275;23,257;24,255;25,241;26,240;27,233;28,214;29,208;30,195
D229 1,34;2,52;3,79;4,113;5,128;6,162;7,192;8,210;9,232;10,238;11,210;12,199;13,179;14,171;15,154;16,131;17,121;18,116;19,82;20,76;21,51;22,21;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D269 1,5;2,8;3,32;4,48;5,64;6,79;7,88;8,114;9,121;10,147;11,160;12,176;13,192;14,215;15,217;16,241;17,244;18,250;19,266;20,276;21,302;22,303;23,277;24,255;25,240;26,220;27,213;28,194;29,185;30,161
D309 1,24;2,56;3,60;4,92;5,100;6,124;7,135;8,165;9,176;10,196;11,205;12,209;13,215;14,188;15,182;16,157;17,149;18,125;19,119;20,91;21,80;22,66;23,60;24,46;25,27;26,8;27,0;28,0;29,0;30,0
D349 1,20;2,52;3,60;4,76;5,85;6,96;7,121;8,140;9,157;10,176;11,200;12,214;13,217;14,214;15,200;16,178;17,161;18,147;19,119;20,102;21,98;22,82;23,55;24,54;25,37;26,28;27,11;28,8;29,0;30,0
D389 1,22;2,47;3,54;4,82;5,112;6,137;7,156;8,159;9,165;10,195;11,213;12,232;13,233;14,255;15,264;16,265;17,264;18,257;19,251;20,238;21,213;22,197;23,185;24,158;25,155;26,125;27,119;28,112;29,105;30,99
D429 1,14;2,28;3,47;4,72;5,94;6,110;7,119;8,135;9,151;10,177;11,179;12,186;13,197;14,199;15,221;16,223;17,248;18,252;19,280;20,272;21,261;22,236;23,210;24,201;25,187;26,175;27,161;28,150;29,141;30,123
D469 1,28;2,53;3,57;4,62;5,76;6,87;7,94;8,95;9,104;10,115;11,134;12,155;13,159;14,171;15,194;16,216;17,235;18,242;19,268;20,261;21,254;22,250;23,225;24,217;25,203;26,187;27,171;28,166;29,162;30,150
D509 1,3;2,14;3,42;4,58;5,74;6,88;7,112;8,121;9,125;10,157;11,171;12,195;13,225;14,203;15,194;16,186;17,180;18,177;19,155;20,149;21,127;22,100;23,96;24,84;25,64;26,50;27,41;28,27;29,19;30,0
D549 1,30;2,60;3,94;4,104;5,138;6,170;7,190;8,193;9,211;10,219;11,214;12,180;13,155;14,123;15,113;16,88;17,73;18,51;19,21;20,1;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D589 1,34;2,45;3,70;4,95;5,105;6,135;7,146;8,156;9,184;10,189;11,172;12,169;13,164;14,136;15,104;16,72;17,44;18,16;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D629 1,3;2,28;3,56;4,81;5,91;6,121;7,129;8,151;9,162;10,173;11,162;12,140;13,113;14,88;15,70;16,36;17,31;18,9;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D669 1,28;2,39;3,58;4,86;5,97;6,112;7,126;8,138;9,152;10,167;11,176;12,180;13,205;14,231;15,242;16,250;17,273;18,294;19,305;20,279;21,260;22,249;23,244;24,219;25,207;26,188;27,180;28,172;29,163;30,138
D709 1,21;2,34;3,44;4,72;5,79;6,97;7,101;8,129;9,159;10,183;11,189;12,214;13,223;14,227;15,254;16,273;17,245;18,230;19,209;20,205;21,184;22,157;23,147;24,129;25,114;26,86;27,67;28,37;29,33;30,20
D749 1,28;2,43;3,62;4,80;5,94;6,95;7,121;8,149;9,177;10,198;11,209;12,234;13,236;14,241;15,246;16,269;17,277;18,303;19,328;20,317;21,316;22,304;23,302;24,276;25,251;26,249;27,241;28,227;29,219;30,196
D789 1,3;2,25;3,30;4,48;5,71;6,103;7,130;8,148;9,149;10,169;11,142;12,131;13,106;14,74;15,73;16,55;17,28;18,0;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D829 1,15;2,38;3,56;4,57;5,82;6,102;7,130;8,150;9,175;10,197;11,184;12,159;13,131;14,128;15,123;16,110;17,99;18,72;19,55;20,42;21,19;22,4;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D869 1,28;2,44;3,48;4,76;5,95;6,107;7,126;8,145;9,147;10,156;11,165;12,186;13,190;14,195;15,196;16,215;17,238;18,250;19,252;20,229;21,224;22,213;23,212;24,208;25,200;26,181;27,172;28,150;29,149;30,135
D909 1,7;2,14;3,30;4,39;5,48;6,50;7,58;8,86;9,111;10,112;11,127;12,142;13,154;14,173;15,181;16,206;17,224;18,226;19,240;20,235;21,210;22,203;23,192;24,173;25,154;26,135;27,119;28,98;29,94;30,90
D949 1,6;2,40;3,53;4,78;5,81;6,111;7,112;8,127;9,154;10,174;11,154;12,122;13,92;14,91;15,76;16,73;17,67;18,42;19,12;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D989 1,30;2,60;3,90;4,114;5,126;6,129;7,156;8,165;9,174;10,180;11,204;12,225;13,226;14,227;15,254;16,276;17,252;18,231;19,212;20,196;21,192;22,176;23,148;24,126;25,107;26,104;27,83;28,61;29,31;30,22
D1029 1,1;2,15;3,30;4,44;5,59;6,74;7,98;8,113;9,118;10,144;11,159;12,168;13,194;14,210;15,215;16,238;17,256;18,258;19,272;20,291;21,317;22,326;23,324;24,318;25,315;26,309;27,302;28,283;29,263;30,241
D1069 1,25;2,27;3,36;4,52;5,67;6,85;7,106;8,132;9,148;10,170;11,181;12,203;13,215;14,227;15,246;16,257;17,264;18,275;19,293;20,270;21,252;22,227;23,211;24,188;25,162;26,139;27,125;28,110;29,106;30,80
D1817 1,10;2,13;3,19;4,40;5,61;6,70;7,83;8,87;9,108;10,117;11,135;12,162;13,178;14,187;15,211;16,212;17,203;18,190;19,169;20,145;21,121;22,91;23,76;24,75;25,51;26,30;27,26;28,17;29,0;30,0
D2217 1,12;2,34;3,49;4,71;5,80;6,93;7,96;8,111;9,115;10,136;11,161;12,177;13,181;14,194;15,212;16,240;17,236;18,223;19,199;20,181;21,165;22,158;23,151;24,126;25,110;26,97;27,72;28,60;29,54;30,38
D2617 1,22;2,29;3,40;4,47;5,59;6,60;7,71;8,75;9,76;10,92;11,93;12,102;13,117;14,143;15,171;16,196;17,212;18,219;19,221;20,209;21,207;22,186;23,165;24,140;25,133;26,126;27,124;28,99;29,92;30,71
D3017 1,21;2,29;3,47;4,68;5,83;6,95;7,104;8,123;9,137;10,153;11,171;12,175;13,203;14,225;15,246;16,251;17,253;18,276;19,277;20,256;21,235;22,227;23,212;24,197;25,188;26,176;27,174;28,162;29,143;30,136
D3417 1,30;2,53;3,64;4,70;5,85;6,115;7,121;8,151;9,157;10,158;11,133;12,127;13,117;14,83;15,77;16,67;17,45;18,37;19,31;20,3;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0
D3817 1,28;2,51;3,56;4,90;5,117;6,130;7,152;8,162;9,196;10,218;11,198;12,192;13,191;14,180;15,165;16,154;17,129;18,106;19,95;20,84;21,78;22,48;23,45;24,22;25,0;26,0;27,0;28,0;29,0;30,0
D4217 1,16;2,42;3,64;4,82;5,95;6,109;7,122;8,141;9,155;10,156;11,174;12,197;13,204;14,220;15,235;16,245;17,258;18,282;19,288;20,311;21,317;22,331;23,326;24,300;25,299;26,280;27,262;28,253;29,231;30,218
