@Ciudad
n=200
m=200
@Datos
d1=11
d2=7
dn=70
@Distritos
D21 1,7;2,14;3,26;4,42;5,67;6,79;7,89;8,107;9,128;10,141;11,156;12,180;13,181;14,185;15,186;16,198;17,207;18,219;19,232;20,262;21,280;22,305;23,312;24,339;25,346;26,367;27,373;28,394;29,407;30,434;31,437;32,449;33,450;34,471;35,478;36,508;37,481;38,472;39,447;40,443;41,436;42,417;43,410;44,407;45,388;46,375;47,356;48,344;49,331;50,322;51,303;52,294;53,284;54,259;55,238;56,222;57,195;58,191;59,185;60,158;61,151;62,133;63,109;64,94;65,87;66,78;67,71;68,65;69,58;70,57
D131 1,19;2,43;3,71;4,86;5,116;6,146;7,164;8,180;9,205;10,208;11,236;12,249;13,252;14,282;15,283;16,286;17,305;18,320;19,336;20,348;21,364;22,377;23,402;24,406;25,419;26,447;27,474;28,489;29,493;30,500;31,530;32,533;33,549;34,559;35,569;36,578;37,553;38,547;39,544;40,529;41,516;42,501;43,477;44,468;45,467;46,466;47,453;48,438;49,417;50,410;51,389;52,383;53,362;54,334;55,324;56,306;57,276;58,257;59,227;60,197;61,175;62,150;63,134;64,116;65,110;66,82;67,55;68,25;69,0;70,0
D241 1,8;2,33;3,38;4,50;5,71;6,99;7,124;8,147;9,148;10,170;11,175;12,190;13,191;14,199;15,218;16,233;17,245;18,271;19,283;20,291;21,296;22,317;23,343;24,364;25,371;26,394;27,419;28,447;29,455;30,473;31,487;32,501;33,502;34,506;35,521;36,546;37,547;38,549;39,575;40,603;41,631;42,646;43,671;44,663;45,635;46,614;47,602;48,598;49,591;50,586;51,561;52,553;53,528;54,527;55,512;56,511;57,489;58,477;59,455;60,434;61,412;62,411;63,385;64,383;65,357;66,349;67,323;68,314;69,309;70,294
D351 1,17;2,18;3,40;4,67;5,81;6,109;7,118;8,124;9,146;10,162;11,184;12,201;13,223;14,229;15,245;16,261;17,280;18,289;19,305;20,322;21,347;22,355;23,366;24,393;25,418;26,422;27,452;28,479;29,509;30,497;31,470;32,467;33,447;34,436;35,424;36,397;37,378;38,374;39,365;40,357;41,340;42,308;43,302;44,299;45,290;46,268;47,267;48,247;49,220;50,212;51,206;52,187;53,171;54,149;55,137;56,109;57,106;58,102;59,70;60,69;61,57;62,53;63,41;64,32;65,8;66,0;67,0;68,0;69,0;70,0
D461 1,15;2,45;3,75;4,105;5,122;6,123;7,126;8,156;9,176;10,184;11,199;12,221;13,229;14,234;15,262;16,285;17,310;18,342;19,370;20,388;21,389;22,400;23,380;24,358;25,355;26,338;27,327;28,319;29,294;30,269;31,241;32,213;33,193;34,190;35,173;36,172;37,161;38,146;39,133;40,123;41,117;42,116;43,86;44,64;45,36;46,23;47,20;48,12;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0;61,0;62,0;63,0;64,0;65,0;66,0;67,0;68,0;69,0;70,0
D571 1,8;2,27;3,39;4,67;5,75;6,101;7,124;8,135;9,156;10,170;11,175;12,203;13,204;14,216;15,234;16,236;17,252;18,266;19,287;20,298;21,305;22,313;23,325;24,327;25,348;26,349;27,371;28,375;29,396;30,422;31,427;32,435;33,457;34,480;35,485;36,510;37,512;38,527;39,536;40,543;41,562;42,571;43,590;44,582;45,556;46,551;47,540;48,526;49,498;50,470;51,447;52,431;53,406;54,384;55,380;56,366;57,347;58,329;59,303;60,282;61,260;62,232;63,210;64,199;65,191;66,176;67,157;68,146;69,118;70,113
D681 1,15;2,33;3,43;4,51;5,69;6,70;7,93;8,106;9,124;10,158;11,188;12,199;13,202;14,222;15,240;16,263;17,281;18,289;19,321;20,348;21,359;22,362;23,339;24,331;25,326;26,303;27,295;28,261;29,231;30,204;31,198;32,181;33,175;34,153;35,133;36,111;37,79;38,78;39,61;40,46;41,23;42,20;43,9;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0;61,0;62,0;63,0;64,0;65,0;66,0;67,0;68,0;69,0;70,0
D791 1,19;2,31;3,37;4,48;5,76;6,100;7,114;8,128;9,131;10,156;11,168;12,172;13,199;14,205;15,221;16,240;17,270;18,282;19,293;20,305;21,325;22,336;23,347;24,358;25,382;26,396;27,405;28,416;29,441;30,433;31,414;32,408;33,400;34,383;35,358;36,349;37,325;38,324;39,318;40,310;41,298;42,292;43,275;44,266;45,244;46,212;47,196;48,180;49,174;50,146;51,121;52,102;53,74;54,66;55,47;56,15;57,3;58,0;59,0;60,0;61,0;62,0;63,0;64,0;65,0;66,0;67,0;68,0;69,0;70,0
D901 1,10;2,29;3,47;4,58;5,61;6,81;7,103;8,112;9,134;10,157;11,168;12,174;13,190;14,208;15,222;16,236;17,259;18,265;19,279;20,294;21,295;22,309;23,322;24,345;25,371;26,386;27,406;28,417;29,430;30,444;31,457;32,460;33,473;34,499;35,501;36,524;37,548;38,553;39,564;40,587;41,603;42,618;43,624;44,648;45,657;46,671;47,689;48,698;49,705;50,720;51,701;52,686;53,677;54,651;55,635;56,615;57,595;58,584;59,581;60,558;61,549;62,527;63,507;64,505;65,485;66,476;67,471;68,447;69,429;70,416
D1011 1,19;2,29;3,59;4,69;5,79;6,82;7,112;8,122;9,150;10,180;11,202;12,214;13,224;14,248;15,275;16,278;17,305;18,309;19,327;20,354;21,364;22,389;23,399;24,423;25,439;26,463;27,469;28,476;29,498;30,508;31,538;32,563;33,581;34,605;35,620;36,632;37,614;38,584;39,581;40,562;41,559;42,552;43,542;44,538;45,523;46,496;47,472;48,460;49,445;50,439;51,427;52,420;53,401;54,400;55,385;56,366;57,338;58,331;59,330;60,306;61,303;62,285;63,276;64,273;65,261;66,252;67,230;68,220;69,213;70,197
