@Ciudad
n=62
m=31
@Datos
d1=10
d2=10
dn=54
@Distritos
D21 1,10;2,38;3,66;4,72;5,92;6,97;7,125;8,140;9,158;10,166;11,196;12,228;13,246;14,249;15,272;16,273;17,295;18,267;19,257;20,237;21,220;22,192;23,167;24,154;25,120;26,117;27,104;28,89;29,72;30,44;31,10;32,0;33,0;34,0;35,0;36,0;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0
D121 1,1;2,26;3,47;4,65;5,69;6,91;7,107;8,117;9,132;10,144;11,171;12,199;13,202;14,218;15,230;16,248;17,264;18,279;19,309;20,331;21,355;22,364;23,377;24,393;25,418;26,443;27,468;28,474;29,470;30,458;31,440;32,425;33,397;34,378;35,353;36,347;37,332;38,317;39,311;40,281;41,275;42,256;43,232;44,214;45,192;46,182;47,176;48,152;49,148;50,136;51,129;52,101;53,89;54,83
D221 1,15;2,34;3,60;4,65;5,67;6,74;7,77;8,80;9,86;10,93;11,112;12,122;13,133;14,153;15,168;16,169;17,188;18,198;19,218;20,244;21,253;22,275;23,282;24,295;25,302;26,308;27,324;28,335;29,359;30,369;31,384;32,402;33,422;34,427;35,451;36,462;37,464;38,475;39,474;40,471;41,468;42,465;43,451;44,449;45,443;46,427;47,425;48,410;49,400;50,377;51,355;52,333;53,309;54,300
D321 1,27;2,35;3,38;4,66;5,91;6,109;7,127;8,159;9,162;10,180;11,195;12,220;13,231;14,232;15,262;16,272;17,292;18,275;19,267;20,242;21,236;22,218;23,196;24,166;25,161;26,139;27,128;28,100;29,92;30,70;31,38;32,21;33,20;34,0;35,0;36,0;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0
D421 1,1;2,23;3,33;4,53;5,68;6,88;7,99;8,110;9,126;10,146;11,152;12,178;13,192;14,208;15,211;16,224;17,233;18,243;19,257;20,262;21,286;22,291;23,309;24,315;25,320;26,338;27,339;28,344;29,345;30,348;31,354;32,374;33,380;34,406;35,426;36,431;37,432;38,437;39,434;40,423;41,397;42,396;43,372;44,363;45,339;46,324;47,302;48,288;49,282;50,260;51,253;52,227;53,222;54,202
D521 1,26;2,41;3,56;4,79;5,104;6,127;7,152;8,156;9,171;10,183;11,192;12,197;13,205;14,227;15,234;16,235;17,253;18,279;19,301;20,302;21,303;22,324;23,332;24,341;25,364;26,373;27,374;28,392;29,420;30,429;31,438;32,445;33,471;34,445;35,434;36,411;37,399;38,374;39,369;40,367;41,339;42,327;43,320;44,308;45,280;46,264;47,253;48,246;49,238;50,234;51,209;52,190;53,162;54,158
D621 1,17;2,37;3,48;4,73;5,82;6,85;7,101;8,112;9,126;10,146;11,149;12,166;13,196;14,224;15,227;16,244;17,271;18,275;19,299;20,311;21,339;22,340;23,316;24,307;25,280;26,260;27,233;28,230;29,218;30,212;31,200;32,176;33,164;34,163;35,135;36,115;37,112;38,87;39,73;40,64;41,44;42,32;43,28;44,25;45,24;46,8;47,4;48,0;49,0;50,0;51,0;52,0;53,0;54,0
D1211 1,21;2,27;3,42;4,60;5,82;6,97;7,110;8,131;9,137;10,164;11,182;12,191;13,215;14,224;15,248;16,269;17,275;18,282;19,288;20,297;21,310;22,320;23,329;24,335;25,357;26,372;27,400;28,425;29,412;30,402;31,374;32,344;33,341;34,329;35,317;36,301;37,289;38,288;39,287;40,271;41,249;42,248;43,227;44,202;45,181;46,180;47,152;48,128;49,118;50,99;51,77;52,64;53,45;54,15
D2211 1,12;2,16;3,22;4,46;5,56;6,68;7,90;8,93;9,102;10,105;11,126;12,138;13,162;14,180;15,202;16,215;17,221;18,251;19,275;20,279;21,280;22,310;23,331;24,355;25,385;26,403;27,404;28,413;29,383;30,376;31,355;32,342;33,329;34,311;35,292;36,280;37,258;38,231;39,218;40,208;41,205;42,204;43,182;44,154;45,142;46,129;47,111;48,92;49,64;50,51;51,45;52,42;53,27;54,26
D3211 1,15;2,43;3,77;4,104;5,115;6,138;7,168;8,193;9,218;10,228;11,229;12,240;13,262;14,263;15,295;16,323;17,324;18,321;19,303;20,288;21,261;22,248;23,231;24,208;25,186;26,166;27,163;28,133;29,110;30,102;31,92;32,69;33,46;34,40;35,30;36,20;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0
D4211 1,9;2,19;3,22;4,23;5,33;6,37;7,46;8,74;9,81;10,111;11,130;12,149;13,155;14,165;15,177;16,205;17,224;18,230;19,240;20,267;21,289;22,301;23,307;24,317;25,344;26,366;27,387;28,402;29,374;30,364;31,348;32,344;33,322;34,300;35,273;36,264;37,246;38,225;39,212;40,202;41,199;42,175;43,145;44,144;45,122;46,110;47,98;48,92;49,80;50,50;51,34;52,31;53,24;54,3
D5211 1,26;2,47;3,73;4,99;5,115;6,140;7,147;8,148;9,155;10,170;11,181;12,209;13,230;14,258;15,269;16,278;17,297;18,306;19,324;20,326;21,345;22,353;23,379;24,395;25,413;26,425;27,437;28,455;29,470;30,477;31,491;32,516;33,532;34,517;35,513;36,501;37,499;38,471;39,466;40,464;41,449;42,421;43,413;44,397;45,390;46,382;47,370;48,361;49,338;50,320;51,304;52,296;53,277;54,261
D6211 1,25;2,37;3,59;4,73;5,82;6,96;7,116;8,128;9,142;10,154;11,178;12,187;13,201;14,221;15,229;16,261;17,262;18,273;19,301;20,331;21,337;22,346;23,324;24,299;25,271;26,267;27,237;28,205;29,196;30,195;31,165;32,162;33,140;34,129;35,115;36,104;37,80;38,48;39,23;40,6;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0
D7211 1,15;2,26;3,48;4,55;5,57;6,75;7,98;8,120;9,125;10,147;11,161;12,176;13,184;14,200;15,223;16,224;17,242;18,270;19,275;20,290;21,318;22,325;23,350;24,371;25,385;26,392;27,413;28,424;29,445;30,457;31,459;32,487;33,513;34,506;35,491;36,466;37,447;38,429;39,421;40,412;41,408;42,401;43,375;44,353;45,339;46,314;47,310;48,302;49,297;50,286;51,277;52,256;53,247;54,226
D2221 1,5;2,14;3,16;4,23;5,34;6,41;7,60;8,82;9,104;10,118;11,141;12,155;13,166;14,170;15,193;16,221;17,222;18,229;19,244;20,270;21,285;22,301;23,329;24,344;25,346;26,369;27,392;28,415;29,424;30,431;31,438;32,463;33,484;34,472;35,465;36,456;37,451;38,426;39,405;40,383;41,379;42,354;43,343;44,331;45,319;46,312;47,300;48,274;49,267;50,266;51,243;52,224;53,196;54,184
D3221 1,20;2,40;3,43;4,61;5,74;6,91;7,106;8,116;9,122;10,123;11,131;12,149;13,179;14,209;15,212;16,246;17,256;18,245;19,223;20,215;21,183;22,175;23,148;24,114;25,111;26,106;27,74;28,69;29,49;30,39;31,19;32,4;33,0;34,0;35,0;36,0;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0
D4221 1,13;2,22;3,47;4,53;5,63;6,88;7,104;8,132;9,151;10,167;11,174;12,196;13,208;14,236;15,252;16,274;17,302;18,314;19,324;20,337;21,344;22,368;23,389;24,390;25,414;26,439;27,460;28,490;29,480;30,456;31,441;32,419;33,412;34,387;35,384;36,362;37,358;38,331;39,310;40,292;41,262;42,252;43,249;44,221;45,199;46,189;47,188;48,178;49,177;50,161;51,149;52,121;53,100;54,72
D5221 1,7;2,18;3,30;4,44;5,63;6,67;7,78;8,92;9,114;10,129;11,140;12,151;13,173;14,198;15,205;16,210;17,221;18,236;19,245;20,256;21,264;22,269;23,297;24,309;25,327;26,343;27,357;28,369;29,392;30,413;31,435;32,436;33,459;34,445;35,441;36,433;37,414;38,395;39,372;40,349;41,330;42,304;43,302;44,281;45,273;46,255;47,233;48,229;49,228;50,219;51,218;52,209;53,194;54,166
