@Ciudad
n=190
m=131
@Datos
d1=21
d2=40
dn=45
@Distritos
D21 1,3;2,21;3,47;4,67;5,91;6,115;7,120;8,133;9,138;10,143;11,145;12,158;13,171;14,178;15,204;16,220;17,231;18,247;19,260;20,262;21,278;22,281;23,286;24,289;25,292;26,306;27,329;28,340;29,354;30,380;31,390;32,395;33,379;34,368;35,354;36,335;37,332;38,310;39,288;40,275;41,265;42,255;43,244;44,228;45,213
D231 1,4;2,28;3,37;4,49;5,62;6,86;7,95;8,101;9,119;10,125;11,147;12,151;13,152;14,167;15,185;16,210;17,234;18,238;19,248;20,260;21,282;22,301;23,329;24,301;25,279;26,249;27,248;28,245;29,241;30,217;31,195;32,185;33,176;34,149;35,128;36,125;37,100;38,81;39,54;40,47;41,22;42,3;43,0;44,0;45,0
D441 1,19;2,34;3,38;4,50;5,66;6,94;7,100;8,128;9,143;10,170;11,174;12,187;13,193;14,199;15,224;16,227;17,231;18,237;19,255;20,259;21,284;22,305;23,312;24,291;25,267;26,258;27,240;28,236;29,232;30,219;31,192;32,170;33,155;34,148;35,120;36,99;37,72;38,51;39,24;40,0;41,0;42,0;43,0;44,0;45,0
D651 1,22;2,39;3,69;4,70;5,90;6,120;7,140;8,164;9,192;10,201;11,217;12,221;13,233;14,265;15,276;16,303;17,312;18,318;19,337;20,312;21,285;22,268;23,257;24,237;25,210;26,183;27,156;28,142;29,136;30,109;31,97;32,94;33,75;34,61;35,53;36,31;37,12;38,9;39,0;40,0;41,0;42,0;43,0;44,0;45,0
D861 1,7;2,10;3,25;4,40;5,55;6,74;7,83;8,92;9,107;10,129;11,147;12,148;13,150;14,153;15,177;16,193;17,219;18,234;19,253;20,259;21,261;22,279;23,286;24,296;25,312;26,335;27,345;28,351;29,362;30,372;31,383;32,403;33,398;34,380;35,378;36,362;37,351;38,333;39,322;40,311;41,289;42,263;43,240;44,239;45,216
D1071 1,11;2,36;3,68;4,79;5,111;6,136;7,140;8,165;9,184;10,198;11,218;12,240;13,267;14,291;15,295;16,299;17,315;18,316;19,328;20,317;21,297;22,270;23,253;24,233;25,219;26,215;27,209;28,200;29,188;30,176;31,175;32,164;33,160;34,152;35,128;36,108;37,84;38,73;39,57;40,56;41,47;42,27;43,13;44,0;45,0
D1281 1,13;2,21;3,22;4,52;5,57;6,77;7,87;8,112;9,129;10,152;11,182;12,209;13,234;14,259;15,237;16,207;17,194;18,183;19,153;20,123;21,105;22,97;23,86;24,83;25,70;26,38;27,4;28,0;29,0;30,0;31,0;32,0;33,0;34,0;35,0;36,0;37,0;38,0;39,0;40,0;41,0;42,0;43,0;44,0;45,0
D1491 1,13;2,20;3,26;4,42;5,45;6,75;7,97;8,98;9,114;10,117;11,124;12,131;13,155;14,185;15,215;16,227;17,228;18,258;19,271;20,286;21,302;22,332;23,333;24,332;25,329;26,314;27,301;28,273;29,255;30,230;31,211;32,205;33,199;34,174;35,155;36,131;37,106;38,78;39,72;40,60;41,45;42,38;43,34;44,9;45,0
D1701 1,18;2,43;3,60;4,88;5,115;6,126;7,156;8,164;9,179;10,213;11,226;12,248;13,282;14,288;15,256;16,238;17,230;18,222;19,197;20,174;21,173;22,172;23,164;24,163;25,146;26,129;27,111;28,98;29,93;30,90;31,77;32,52;33,44;34,39;35,31;36,26;37,16;38,1;39,0;40,0;41,0;42,0;43,0;44,0;45,0
D4241 1,28;2,32;3,55;4,64;5,79;6,80;7,94;8,120;9,139;10,157;11,162;12,180;13,188;14,202;15,220;16,232;17,234;18,248;19,249;20,264;21,272;22,276;23,297;24,302;25,323;26,344;27,369;28,395;29,372;30,371;31,350;32,345;33,331;34,310;35,288;36,260;37,249;38,231;39,219;40,201;41,193;42,184;43,158;44,147;45,121
