@Ciudad
n=16
m=16
@Datos
d1=3
d2=4
dn=60
@Distritos
D21 1,24;2,56;3,81;4,89;5,116;6,144;7,152;8,158;9,164;10,184;11,185;12,189;13,205;14,235;15,260;16,285;17,307;18,308;19,311;20,323;21,334;22,343;23,363;24,372;25,389;26,359;27,337;28,333;29,303;30,273;31,257;32,225;33,221;34,204;35,172;36,148;37,124;38,120;39,117;40,97;41,70;42,66;43,50;44,49;45,46;46,21;47,2;48,0;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D51 1,22;2,31;3,55;4,87;5,107;6,118;7,143;8,155;9,159;10,189;11,203;12,220;13,226;14,235;15,244;16,252;17,263;18,285;19,310;20,334;21,364;22,370;23,381;24,393;25,410;26,388;27,356;28,348;29,324;30,297;31,281;32,262;33,242;34,234;35,214;36,211;37,197;38,177;39,174;40,144;41,136;42,122;43,100;44,68;45,67;46,61;47,39;48,7;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D81 1,26;2,27;3,45;4,50;5,52;6,72;7,95;8,106;9,121;10,132;11,155;12,169;13,178;14,179;15,199;16,210;17,236;18,249;19,265;20,280;21,286;22,295;23,302;24,309;25,315;26,316;27,325;28,331;29,350;30,357;31,371;32,389;33,390;34,395;35,408;36,421;37,424;38,435;39,438;40,462;41,482;42,505;43,510;44,495;45,477;46,458;47,443;48,420;49,417;50,407;51,385;52,366;53,352;54,339;55,323;56,297;57,292;58,290;59,281;60,271
D111 1,22;2,40;3,68;4,96;5,130;6,155;7,156;8,169;9,186;10,213;11,245;12,255;13,275;14,290;15,320;16,340;17,372;18,400;19,405;20,399;21,388;22,387;23,364;24,339;25,328;26,301;27,291;28,273;29,251;30,248;31,231;32,218;33,215;34,190;35,182;36,167;37,162;38,149;39,119;40,102;41,101;42,76;43,51;44,19;45,6;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D141 1,14;2,39;3,64;4,83;5,104;6,130;7,148;8,153;9,162;10,188;11,213;12,222;13,226;14,242;15,265;16,290;17,304;18,332;19,343;20,365;21,388;22,399;23,411;24,437;25,444;26,467;27,492;28,520;29,532;30,541;31,557;32,566;33,580;34,588;35,610;36,632;37,643;38,625;39,616;40,605;41,582;42,575;43,556;44,548;45,541;46,533;47,517;48,510;49,487;50,473;51,457;52,431;53,430;54,405;55,386;56,364;57,339;58,318;59,311;60,299
D65 1,22;2,41;3,59;4,61;5,68;6,94;7,108;8,117;9,131;10,154;11,163;12,181;13,187;14,188;15,202;16,207;17,223;18,229;19,236;20,245;21,250;22,270;23,292;24,297;25,311;26,337;27,339;28,358;29,376;30,379;31,381;32,386;33,389;34,405;35,412;36,418;37,436;38,441;39,452;40,459;41,462;42,465;43,476;44,457;45,437;46,428;47,409;48,389;49,387;50,382;51,356;52,342;53,328;54,304;55,280;56,254;57,241;58,219;59,213;60,207
D95 1,19;2,42;3,47;4,69;5,88;6,110;7,138;8,145;9,167;10,176;11,198;12,221;13,242;14,243;15,266;16,271;17,273;18,292;19,313;20,321;21,333;22,349;23,365;24,370;25,391;26,410;27,433;28,438;29,457;30,479;31,495;32,514;33,537;34,553;35,554;36,558;37,570;38,561;39,543;40,539;41,513;42,509;43,504;44,478;45,470;46,463;47,438;48,413;49,405;50,400;51,374;52,356;53,328;54,312;55,289;56,274;57,263;58,238;59,234;60,220
D125 1,1;2,4;3,31;4,49;5,76;6,83;7,90;8,100;9,110;10,113;11,119;12,149;13,153;14,177;15,199;16,217;17,241;18,269;19,273;20,294;21,315;22,318;23,319;24,340;25,350;26,377;27,401;28,414;29,441;30,468;31,498;32,489;33,464;34,454;35,432;36,428;37,407;38,391;39,367;40,346;41,318;42,293;43,289;44,288;45,261;46,243;47,237;48,213;49,201;50,177;51,150;52,147;53,129;54,117;55,111;56,96;57,89;58,74;59,56;60,28
D155 1,24;2,44;3,48;4,64;5,91;6,105;7,124;8,143;9,160;10,179;11,201;12,221;13,237;14,267;15,294;16,311;17,325;18,328;19,337;20,348;21,356;22,360;23,384;24,404;25,434;26,404;27,400;28,372;29,344;30,325;31,298;32,292;33,267;34,237;35,218;36,204;37,190;38,189;39,157;40,154;41,137;42,134;43,110;44,106;45,74;46,65;47,41;48,9;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D185 1,34;2,61;3,69;4,79;5,113;6,141;7,158;8,168;9,190;10,207;11,224;12,225;13,247;14,274;15,299;16,333;17,339;18,366;19,374;20,351;21,321;22,308;23,305;24,287;25,286;26,276;27,259;28,236;29,214;30,213;31,200;32,175;33,167;34,152;35,151;36,129;37,95;38,67;39,56;40,39;41,12;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
