@Ciudad
n=100
m=100
@Datos
d1=5
d2=10
dn=60
@Distritos
D11 1,10;2,24;3,43;4,53;5,58;6,67;7,69;8,93;9,119;10,124;11,147;12,157;13,172;14,188;15,201;16,215;17,233;18,257;19,258;20,274;21,294;22,301;23,317;24,339;25,355;26,371;27,377;28,379;29,405;30,412;31,425;32,431;33,441;34,464;35,477;36,483;37,501;38,514;39,525;40,543;41,552;42,554;43,565;44,563;45,557;46,548;47,525;48,516;49,492;50,486;51,460;52,442;53,428;54,408;55,401;56,400;57,374;58,359;59,350;60,328
D61 1,4;2,24;3,54;4,66;5,83;6,110;7,124;8,136;9,156;10,167;11,184;12,193;13,215;14,224;15,248;16,270;17,302;18,322;19,330;20,341;21,363;22,383;23,411;24,430;25,442;26,434;27,410;28,382;29,368;30,359;31,356;32,328;33,306;34,294;35,293;36,279;37,252;38,228;39,225;40,206;41,203;42,173;43,145;44,117;45,89;46,61;47,37;48,29;49,2;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D111 1,30;2,49;3,71;4,93;5,96;6,104;7,112;8,144;9,155;10,164;11,181;12,182;13,206;14,215;15,221;16,222;17,250;18,251;19,275;20,302;21,314;22,322;23,323;24,351;25,355;26,344;27,316;28,299;29,298;30,278;31,259;32,248;33,229;34,212;35,204;36,187;37,179;38,147;39,141;40,113;41,93;42,90;43,87;44,84;45,68;46,40;47,37;48,36;49,28;50,19;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D161 1,18;2,29;3,63;4,76;5,86;6,87;7,119;8,147;9,152;10,182;11,207;12,232;13,262;14,292;15,297;16,307;17,332;18,349;19,355;20,342;21,319;22,297;23,270;24,247;25,236;26,228;27,200;28,189;29,161;30,144;31,136;32,114;33,96;34,81;35,61;36,60;37,40;38,15;39,9;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D211 1,18;2,37;3,67;4,70;5,98;6,128;7,152;8,156;9,168;10,180;11,187;12,196;13,215;14,236;15,242;16,258;17,286;18,313;19,316;20,338;21,365;22,386;23,389;24,417;25,418;26,427;27,448;28,470;29,500;30,510;31,523;32,505;33,493;34,465;35,450;36,428;37,419;38,391;39,367;40,346;41,316;42,315;43,300;44,285;45,278;46,253;47,232;48,222;49,210;50,209;51,202;52,198;53,191;54,166;55,153;56,152;57,134;58,104;59,86;60,59
D261 1,30;2,42;3,74;4,82;5,114;6,142;7,145;8,154;9,162;10,174;11,198;12,220;13,226;14,258;15,267;16,299;17,331;18,347;19,364;20,365;21,389;22,393;23,399;24,402;25,418;26,399;27,377;28,358;29,330;30,308;31,294;32,262;33,254;34,242;35,230;36,208;37,192;38,180;39,169;40,142;41,110;42,91;43,80;44,61;45,34;46,33;47,21;48,20;49,8;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D311 1,16;2,34;3,42;4,47;5,52;6,53;7,55;8,64;9,79;10,90;11,115;12,129;13,133;14,161;15,170;16,174;17,183;18,195;19,199;20,221;21,229;22,240;23,268;24,284;25,296;26,317;27,332;28,333;29,351;30,372;31,395;32,418;33,436;34,459;35,468;36,493;37,516;38,507;39,500;40,482;41,466;42,447;43,428;44,427;45,402;46,390;47,388;48,383;49,362;50,355;51,337;52,312;53,294;54,271;55,260;56,242;57,214;58,193;59,191;60,163
D361 1,15;2,25;3,40;4,63;5,83;6,91;7,109;8,141;9,173;10,183;11,198;12,211;13,241;14,247;15,257;16,270;17,292;18,314;19,332;20,319;21,294;22,288;23,280;24,252;25,235;26,222;27,195;28,168;29,160;30,142;31,132;32,122;33,105;34,104;35,87;36,60;37,43;38,32;39,19;40,0;41,0;42,0;43,0;44,0;45,0;46,0;47,0;48,0;49,0;50,0;51,0;52,0;53,0;54,0;55,0;56,0;57,0;58,0;59,0;60,0
D411 1,30;2,39;3,63;4,73;5,82;6,91;7,95;8,104;9,123;10,145;11,164;12,192;13,201;14,202;15,230;16,251;17,270;18,291;19,292;20,314;21,327;22,331;23,338;24,347;25,354;26,382;27,400;28,409;29,419;30,431;31,440;32,436;33,409;34,391;35,373;36,349;37,336;38,311;39,283;40,253;41,232;42,228;43,198;44,171;45,158;46,155;47,149;48,143;49,134;50,124;51,117;52,92;53,83;54,55;55,34;56,7;57,0;58,0;59,0;60,0
D461 1,11;2,22;3,45;4,49;5,72;6,88;7,110;8,128;9,143;10,157;11,159;12,175;13,182;14,205;15,219;16,245;17,273;18,280;19,284;20,302;21,323;22,339;23,364;24,390;25,397;26,406;27,410;28,411;29,439;30,450;31,471;32,493;33,498;34,505;35,533;36,535;37,554;38,538;39,524;40,513;41,504;42,476;43,457;44,456;45,449;46,431;47,408;48,392;49,390;50,382;51,357;52,329;53,318;54,303;55,285;56,257;57,245;58,233;59,210;60,195
